Serial Number:20053111 --

Date Time - GMT +03:00,"Temp, (*F)","RH, (%)","DewPt, (*F)",Host Connect,Started,EOF,
2017-09-10 23:20:14,72.69,51.70,53.93, , , ,
2017-09-10 23:30:14,72.61,51.67,53.84, , , ,
2017-09-10 23:40:14,72.69,51.42,53.78, , , ,
2017-09-10 23:50:14,72.61,51.42,53.71, , , ,
2017-09-11 00:00:14,72.61,51.42,53.71, , , ,
2017-09-11 00:10:14,72.61,51.16,53.57, , , ,
2017-09-11 00:20:14,72.54,51.20,53.52, , , ,
2017-09-11 00:30:14,72.54,50.91,53.36, , , ,
2017-09-11 00:40:14,72.46,50.66,53.16, , , ,
2017-09-11 00:50:14,72.46,50.66,53.16, , , ,
2017-09-11 01:00:14,72.46,50.66,53.16, , , ,
2017-09-11 01:10:14,72.46,50.66,53.16, , , ,
2017-09-11 01:20:14,72.46,50.40,53.02, , , ,
2017-09-11 01:30:14,72.46,50.40,53.02, , , ,
2017-09-11 01:40:14,72.38,50.66,53.09, , , ,
2017-09-11 01:50:14,72.38,50.66,53.09, , , ,
2017-09-11 02:00:14,72.30,50.62,53.00, , , ,
2017-09-11 02:10:14,72.38,50.69,53.10, , , ,
2017-09-11 02:20:14,72.30,50.88,53.13, , , ,
2017-09-11 02:30:14,72.23,50.91,53.08, , , ,
2017-09-11 02:40:14,72.23,50.91,53.08, , , ,
2017-09-11 02:50:14,72.23,50.91,53.08, , , ,
2017-09-11 03:00:14,72.23,50.88,53.06, , , ,
2017-09-11 03:10:14,72.23,50.91,53.08, , , ,
2017-09-11 03:20:14,72.15,50.88,52.99, , , ,
2017-09-11 03:30:14,72.07,51.13,53.06, , , ,
2017-09-11 03:40:14,72.07,51.13,53.06, , , ,
2017-09-11 03:50:14,72.15,51.13,53.13, , , ,
2017-09-11 04:00:14,72.07,51.13,53.06, , , ,
2017-09-11 04:10:14,72.07,51.16,53.07, , , ,
2017-09-11 04:20:14,72.00,51.39,53.12, , , ,
2017-09-11 04:30:14,72.07,51.39,53.19, , , ,
2017-09-11 04:40:14,71.92,51.35,53.03, , , ,
2017-09-11 04:50:14,72.00,51.39,53.12, , , ,
2017-09-11 05:00:14,72.00,51.39,53.12, , , ,
2017-09-11 05:10:14,72.00,51.39,53.12, , , ,
2017-09-11 05:20:14,71.92,51.35,53.03, , , ,
2017-09-11 05:30:14,71.92,51.39,53.05, , , ,
2017-09-11 05:40:14,71.92,51.35,53.03, , , ,
2017-09-11 05:50:14,71.84,51.39,52.98, , , ,
2017-09-11 06:00:14,71.84,51.35,52.96, , , ,
2017-09-11 06:10:14,71.84,51.35,52.96, , , ,
2017-09-11 06:20:14,71.84,51.61,53.10, , , ,
2017-09-11 06:30:14,71.84,51.64,53.11, , , ,
2017-09-11 06:40:14,71.69,51.61,52.95, , , ,
2017-09-11 06:50:14,71.76,51.64,53.04, , , ,
2017-09-11 07:00:14,71.76,51.61,53.02, , , ,
2017-09-11 07:10:14,71.69,51.61,52.95, , , ,
2017-09-11 07:20:14,71.76,51.86,53.16, , , ,
2017-09-11 07:30:14,71.76,52.37,53.42, , , ,
2017-09-11 07:40:14,71.76,52.37,53.42, , , ,
2017-09-11 07:50:14,71.84,52.37,53.49, , , ,
2017-09-11 08:00:14,71.92,52.62,53.70, , , ,
